ID,date,county,state,cases,deaths,confirmedCases,confirmedDeaths,probableCases,probableDeaths
1,03-05-2021,Autauga,Alabama,6909,107,5842,94,1067,13
2,03-05-2021,Baldwin,Alabama,20983,306,14777,230,6206,76
3,03-05-2021,Barbour,Alabama,2302,56,1286,37,1016,19
4,03-05-2021,Bibb,Alabama,2596,63,2087,39,509,24
5,03-05-2021,Blount,Alabama,6619,135,5105,113,1514,22
6,03-05-2021,Bullock,Alabama,1229,41,1084,31,145,10
7,03-05-2021,Butler,Alabama,2154,69,1945,61,209,8
8,03-05-2021,Calhoun,Alabama,14450,312,10794,251,3656,61
9,03-05-2021,Chambers,Alabama,3545,123,1756,78,1789,45
10,03-05-2021,Cherokee,Alabama,1837,45,1177,34,660,11
11,03-05-2021,Chilton,Alabama,4240,111,3440,85,800,26
12,03-05-2021,Choctaw,Alabama,603,24,505,13,98,11
13,03-05-2021,Clarke,Alabama,3502,60,2503,44,999,16
14,03-05-2021,Clay,Alabama,1533,56,1205,50,328,6
15,03-05-2021,Cleburne,Alabama,1483,41,1311,33,172,8
16,03-05-2021,Coffee,Alabama,5489,115,3595,48,1894,67
17,03-05-2021,Colbert,Alabama,6279,134,4483,113,1796,21
18,03-05-2021,Conecuh,Alabama,1100,28,834,25,266,3
19,03-05-2021,Coosa,Alabama,1068,28,610,25,458,3
20,03-05-2021,Covington,Alabama,4105,117,2004,78,2101,39
21,03-05-2021,Crenshaw,Alabama,1515,57,1119,49,396,8
22,03-05-2021,Cullman,Alabama,9615,193,6503,129,3112,64
23,03-05-2021,Dale,Alabama,4810,111,3192,87,1618,24
24,03-05-2021,Dallas,Alabama,3536,150,2675,112,861,38
25,03-05-2021,DeKalb,Alabama,8811,185,7547,155,1264,30
26,03-05-2021,Elmore,Alabama,10013,205,7377,166,2636,39
27,03-05-2021,Escambia,Alabama,3925,75,2313,57,1612,18
28,03-05-2021,Etowah,Alabama,13792,352,10944,289,2848,63
29,03-05-2021,Fayette,Alabama,2119,62,1717,46,402,16
30,03-05-2021,Franklin,Alabama,4238,82,3428,68,810,14
31,03-05-2021,Geneva,Alabama,2469,75,1550,36,919,39
32,03-05-2021,Greene,Alabama,922,34,775,26,147,8
33,03-05-2021,Hale,Alabama,2217,76,1694,63,523,13
34,03-05-2021,Henry,Alabama,1884,44,1087,26,797,18
35,03-05-2021,Houston,Alabama,10503,280,5701,170,4802,110
36,03-05-2021,Jackson,Alabama,6790,110,5651,83,1139,27
37,03-05-2021,Jefferson,Alabama,76199,1516,67770,1228,8429,288
38,03-05-2021,Lamar,Alabama,1411,34,1125,25,286,9
39,03-05-2021,Lauderdale,Alabama,9393,238,5931,189,3462,49
40,03-05-2021,Lawrence,Alabama,2996,98,2415,83,581,15
41,03-05-2021,Lee,Alabama,15796,168,8801,102,6995,66
42,03-05-2021,Limestone,Alabama,9933,150,8368,125,1565,25
43,03-05-2021,Lowndes,Alabama,1383,53,1275,48,108,5
44,03-05-2021,Macon,Alabama,1586,49,1249,38,337,11
45,03-05-2021,Madison,Alabama,34555,501,29813,385,4742,116
46,03-05-2021,Marengo,Alabama,2485,64,2280,52,205,12
47,03-05-2021,Marion,Alabama,3092,100,2425,88,667,12
48,03-05-2021,Marshall,Alabama,12164,222,10339,168,1825,54
49,03-05-2021,Mobile,Alabama,40832,804,28605,746,12227,58
50,03-05-2021,Monroe,Alabama,1761,40,1056,31,705,9
51,03-05-2021,Montgomery,Alabama,24252,585,21802,495,2450,90
52,03-05-2021,Morgan,Alabama,14246,279,11882,238,2364,41
53,03-05-2021,Perry,Alabama,1075,26,928,23,147,3
54,03-05-2021,Pickens,Alabama,2335,59,1741,43,594,16
55,03-05-2021,Pike,Alabama,3091,77,1663,33,1428,44
56,03-05-2021,Randolph,Alabama,1791,41,1287,27,504,14
57,03-05-2021,Russell,Alabama,4379,38,3255,29,1124,9
58,03-05-2021,Shelby,Alabama,23350,246,20313,188,3037,58
59,03-05-2021,St. Clair,Alabama,9580,237,8046,204,1534,33
60,03-05-2021,Sumter,Alabama,1041,32,946,28,95,4
61,03-05-2021,Talladega,Alabama,8181,175,5726,141,2455,34
62,03-05-2021,Tallapoosa,Alabama,4002,150,2828,131,1174,19
63,03-05-2021,Tuscaloosa,Alabama,25633,451,17137,310,8496,141
64,03-05-2021,Walker,Alabama,7205,279,5825,241,1380,38
65,03-05-2021,Washington,Alabama,1667,39,1163,31,504,8
66,03-05-2021,Wilcox,Alabama,1264,28,1012,26,252,2
67,03-05-2021,Winston,Alabama,2734,72,2279,62,455,10
68,03-05-2021,Aleutians East Borough,Alaska,364,3,,3,,
69,03-05-2021,Aleutians West Census Area,Alaska,690,0,,0,,
70,03-05-2021,Anchorage,Alaska,29964,171,,171,,
71,03-05-2021,Bethel Census Area,Alaska,3874,21,,21,,
72,03-05-2021,Bristol Bay plus Lake and Peninsula,Alaska,194,0,,0,,
73,03-05-2021,Denali Borough,Alaska,101,0,,0,,
74,03-05-2021,Dillingham Census Area,Alaska,228,2,,2,,
75,03-05-2021,Fairbanks North Star Borough,Alaska,7567,37,,37,,
76,03-05-2021,Haines Borough,Alaska,28,0,,0,,
77,03-05-2021,Juneau City and Borough,Alaska,1351,3,,3,,
78,03-05-2021,Kenai Peninsula Borough,Alaska,4406,19,,19,,
79,03-05-2021,Ketchikan Gateway Borough,Alaska,424,1,,1,,
80,03-05-2021,Kodiak Island Borough,Alaska,1101,5,,5,,
81,03-05-2021,Kusilvak Census Area,Alaska,1275,4,,4,,
82,03-05-2021,Matanuska-Susitna Borough,Alaska,11319,45,,45,,
83,03-05-2021,Nome Census Area,Alaska,351,0,,0,,
84,03-05-2021,North Slope Borough,Alaska,1065,4,,4,,
85,03-05-2021,Northwest Arctic Borough,Alaska,613,2,,2,,
86,03-05-2021,Petersburg Borough,Alaska,159,0,,0,,
87,03-05-2021,Prince of Wales-Hyder Census Area,Alaska,96,1,,1,,
88,03-05-2021,Sitka City and Borough,Alaska,338,0,,0,,
89,03-05-2021,Skagway Municipality,Alaska,20,0,,0,,
90,03-05-2021,Southeast Fairbanks Census Area,Alaska,667,4,,4,,
91,03-05-2021,Unknown,Alaska,288,0,,0,,
92,03-05-2021,Valdez-Cordova Census Area,Alaska,635,2,,2,,
93,03-05-2021,Wrangell City and Borough,Alaska,51,0,,0,,
94,03-05-2021,Yakutat plus Hoonah-Angoon,Alaska,71,2,,2,,
95,03-05-2021,Yukon-Koyukuk Census Area,Alaska,358,4,,4,,
96,03-05-2021,Apache,Arizona,11335,428,,,,
97,03-05-2021,Cochise,Arizona,11922,284,,,,
98,03-05-2021,Coconino,Arizona,17745,329,,,,
99,03-05-2021,Gila,Arizona,6899,227,,,,
100,03-05-2021,Graham,Arizona,5550,78,,,,
